GAME_ID,GAME_DATE,SEASON,SEASON_TYPE,HOME_TEAM,HOME_REST_DAYS,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_FG_PCT,HOME_ROLL_PLUS_MINUS,AWAY_TEAM,AWAY_REST_DAYS,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_FG_PCT,AWAY_ROLL_PLUS_MINUS,HOME_WIN,SPLIT
0021500282,2015-12-03,2015,regular_season,SAC,3.0,107.6,44.7,24.4,0.46229999999999993,-0.8,BOS,3.0,102.2,43.4,25.2,0.4448,4.6,0,train
0021500283,2015-12-04,2015,regular_season,NYK,2.0,93.8,44.1,18.4,0.4166,-2.0,BKN,3.0,98.3,45.2,20.7,0.4497,-3.4,1,train
0021500284,2015-12-04,2015,regular_season,WAS,2.0,97.5,42.3,21.8,0.42800000000000005,-4.2,PHX,2.0,108.1,41.7,21.9,0.45499999999999996,-2.8,1,train
0021500285,2015-12-04,2015,regular_season,DET,2.0,98.5,46.4,19.4,0.41850000000000004,-0.1,MIL,2.0,94.1,39.8,23.0,0.44079999999999997,-10.4,1,train
0021500286,2015-12-04,2015,regular_season,ATL,2.0,99.6,43.3,23.8,0.43529999999999996,0.2,LAL,2.0,93.9,45.5,17.7,0.4037,-9.8,1,train
0021500287,2015-12-04,2015,regular_season,DAL,3.0,100.8,41.8,21.8,0.4507,0.9,HOU,2.0,102.5,44.3,19.5,0.41719999999999996,-4.6,0,train
0021500288,2015-12-04,2015,regular_season,NOP,2.0,101.6,43.1,21.5,0.44539999999999996,-5.7,CLE,3.0,100.4,46.6,21.8,0.4479,3.0,1,train
0021500289,2015-12-05,2015,regular_season,PHI,3.0,91.3,42.8,18.0,0.41859999999999997,-8.2,DEN,2.0,95.0,43.6,22.4,0.4232,-7.9,0,train
0021500290,2015-12-05,2015,regular_season,TOR,2.0,98.3,42.0,16.9,0.43970000000000004,1.7,GSW,3.0,115.8,47.0,29.6,0.508,13.7,0,train
0021500291,2015-12-05,2015,regular_season,MIA,2.0,96.1,44.5,19.9,0.4479,1.9,CLE,1.0,102.2,46.0,22.4,0.44939999999999997,1.8,1,train
